company;sector;horizon (days);amount;date_BUY_fix;date_SELL_fix;price_BUY;price_SELL;Volatility_Buy;Volatility_sell;Sharpe Ratio;expected_return (yearly);inflation;nominal_return;investment;ESG_ranking;PE_ratio;EPS_ratio;PS_ratio;PB_ratio;NetProfitMargin_ratio;current_ratio;roa_ratio;roe_ratio
FB;TECH;660;25000;5/10/2018;27/7/2020;1.573.300.018.310.540;233.5;0.34509678377610675;0.410067647355439;0.34509678377610675;0.5453927677476498;1.68;0.48414159589687644;BAD;31.6;24.81;6.63;9.3;5.88;37.57;9.0;21.89;25.02
PG;FMCG;50;20000;25/11/2016;13/1/2017;7.420.217.895.507.810;7.469.117.736.816.400;0.15110418980495266;0.1423047501972928;0.15110418980495266;0.010582468039370813;-0.2;0.006590081584827534;GOOD;25.1;21.16;3.74;3.44;3.59;15.88;1.09;8.09;17.35
HOG;AUTO;20;400;10/9/2018;1/10/2018;4.136.141.586.303.710;42.691.993.713.378.900;0.27453173830543626;0.2723701002639245;0.27453173830543626;0.002442127620574855;1.68;0.03216954310142164;BAD;16.3;13.2;3.21;1.23;3.2;9.29;1.08;5.22;26.44
HMC;AUTO;80;10000;2/4/2018;21/6/2018;34.0;30.649.999.618.530.200;0.16068705817874057;0.16604117842556695;0.16068705817874057;-0.002009985715725256;1.68;-0.09852942298440372;BAD;28.5;6.04;5.28;0.41;0.77;6.9;1.23;5.47;13.12
TGT;RETAIL;15;5000;10/7/2017;25/7/2017;451.442.756.652.832;4.957.053.756.713.860;0.2543078666060807;0.25828239792633206;0.2543078666060807;0.004689923937631524;1.96;0.09804702449261685;BAD;14.8;10.27;4.96;0.41;2.52;3.92;0.92;7.23;25.16
BBY;RETAIL;60;300;20/12/2013;18/2/2014;3.208.875.274.658.200;2.021.930.503.845.210;0.4404288094634544;0.5447830792449517;0.4404288094634544;0.04311755321198475;1.41;-0.3698943303240158;BAD;12.0;0.0;-0.52;0.26;3.18;-0.38;1.3;-1.14;-4.65
KO;FMCG;70;200;12/5/2017;21/7/2017;3.853.999.328.613.280;40.140.811.920.166.000;0.12379774276922657;0.11670010706663222;0.12379774276922657;0.0123535896058008;1.96;0.04153655715890325;BAD;25.1;26.24;1.43;4.02;6.95;15.3;1.41;6.8;25.06
HMC;AUTO;300;400;25/10/2013;21/8/2014;39.461.421.966.552.700;3.472.999.954.223.630;0.24544744716687153;0.1735889069788846;0.24544744716687153;-0.007537446433969711;1.41;-0.11989994755705286;BAD;28.5;13.82;2.32;0.49;1.01;3.56;1.26;2.74;7.1
AMZN;TECH;300;2000;20/7/2017;16/5/2018;1.028.699.951.171.870;1.587.280.029.296.870;0.18588773711507617;0.2655501920989124;0.18588773711507617;0.2702364851723726;1.96;0.5429961161062333;BAD;27.4;245.69;3.94;3.14;20.02;1.28;1.01;2.38;9.38
TSLA;AUTO;30;1500;9/3/2015;8/4/2015;3.817.599.868.774.410;41.534.000.396.728.500;0.42179116154964535;0.4136632385816756;0.42179116154964535;0.042389336583450954;-0.5;0.08796107042151627;GOOD;31.1;0.0;-0.64;6.7;28.88;-11.34;1.33;-7.11;-43.75
BAC;BANK;480;1500;23/5/2017;14/9/2018;21.595.741.271.972.600;28.758.153.915.405.200;0.26756036299829206;0.21663257015597742;0.26756036299829206;0.24868231138079727;1.96;0.33165856884607736;BAD;26.3;13.78;1.58;2.52;0.81;18.86;0.91;0.81;6.7
OR;FMCG;480;3000;16/2/2018;11/6/2019;10.142.849.922.180.100;992.446.231.842.041;0.2940723466523439;0.32419949607507953;0.2940723466523439;-0.08120599793158928;1.68;-0.02153118752967054;BAD;20.5;0.0;-0.17;8.56;1.19;-20.12;12.24;-2.22;-2.73
SC;BANK;20;100;7/8/2018;27/8/2018;18.479.949.951.171.800;19.423.913.955.688.400;0.2904512757317963;0.28277742735215233;0.2904512757317963;0.0006295698843445321;1.68;0.05108044161433141;BAD;26.9;4.65;3.75;0.87;0.89;18.62;0.87;3.38;20.59
PG;FMCG;50;2000;10/8/2018;28/9/2018;7.661.651.611.328.120;7.831.011.199.951.170;0.15187816723009712;0.15387998826833546;0.15187816723009712;0.010582468039370813;1.68;0.02210484073337927;BAD;25.1;19.88;3.66;2.9;3.44;14.19;0.83;7.71;17.41
KO;FMCG;15;50000;14/11/2013;29/11/2013;31.848.026.275.634.700;3.205.518.341.064.450;0.15780944727513657;0.1548204530184204;0.15780944727513657;0.0026471977726716003;1.41;0.0065045517488865725;BAD;25.1;15.55;1.93;2.88;4.08;18.49;0.96;9.89;26.65
PEP;FMCG;7;100;17/11/2017;24/11/2017;10.402.217.102.050.700;10.512.879.943.847.600;0.10390653935785997;0.10342027012253063;0.10390653935785997;0.0015228073846179353;1.96;0.01063838994237661;BAD;17.6;20.88;4.84;2.3;10.72;10.97;1.35;9.18;57.09
COST;RETAIL;330;50;14/5/2018;9/4/2019;18.652.427.673.339.800;2.349.801.025.390.620;0.21031511674546838;0.2108602666252268;0.21031511674546838;0.15136669202320244;1.68;0.25978294436666066;BAD;22.3;27.69;6.82;0.6;6.65;2.16;1.02;7.82;25.65
OR;FMCG;180;300;16/2/2018;15/8/2018;10.142.849.922.180.100;7.839.279.651.641.840;0.2940723466523439;0.24412570151873375;0.2940723466523439;-0.030452249224345977;1.68;-0.22711272356509288;BAD;20.5;0.0;-0.17;8.56;1.19;-20.12;12.24;-2.22;-2.73
F;AUTO;3;10000;6/2/2017;9/2/2017;10.363.337.516.784.600;10.247.453.689.575.100;0.2565703216810919;0.2558551448271888;0.2565703216810919;-9,84E+10;1.96;-0.011182095248927762;BAD;29.7;8.66;1.14;0.26;1.37;3.02;1.2;1.93;15.11
TGT;RETAIL;180;20000;13/6/2017;11/12/2017;51.621.734.619.140.600;5.677.092.361.450.190;0.24450690114544443;0.3036278422480918;0.24450690114544443;0.056279087251578284;1.96;0.09974846899956903;BAD;14.8;10.14;4.9;0.41;2.5;3.95;0.96;7.32;24.95
BAC;BANK;70;4000;16/6/2014;25/8/2014;13.590.547.561.645.500;14.498.196.601.867.600;0.21746123894005726;0.2115197528524363;0.21746123894005726;0.0362661704096996;-0.15;0.06678531796494241;GOOD;26.3;21.72;0.63;1.54;0.61;6.98;0.95;0.32;2.96
AAPL;TECH;70;25000;26/7/2016;4/10/2016;22.649.059.295.654.200;2.661.847.496.032.710;0.2777024842865578;0.2531517031196479;0.2777024842865578;0.04713246272545707;-0.2;0.17525741854693577;GOOD;16.5;10.47;2.14;2.28;3.82;21.7;1.31;16.01;37.89
NVDA;TECH;70;10000;19/5/2016;28/7/2016;427.666.130.065.918;5.531.268.310.546.870;0.378000137096156;0.37793921903902056;0.378000137096156;0.09457041351487107;-0.2;0.2933613212938601;GOOD;12.9;29.85;1.17;3.87;4.45;13.32;2.44;9.61;15.89
AMZN;TECH;6;2000;22/8/2016;29/8/2016;75.947.998.046.875;7.712.899.780.273.430;0.3260893409356064;0.31002774024608654;0.3260893409356064;0.005404729703447451;-0.2;0.015550110420691585;GOOD;27.4;178.01;4.02;2.85;20.51;1.6;1.09;3.12;13.53
AXP;BANK;40;4000;26/1/2017;7/3/2017;7.231.053.161.621.090;748.014.144.897.461;0.20821550550882156;0.19727271279571473;0.20821550550882156;0.01613500049543137;1.96;0.03444702753335501;BAD;19.8;12.32;5.63;1.76;3.06;14.14;1.94;3.33;25.32
HMC;AUTO;4;2000;17/4/2015;21/4/2015;3.518.000.030.517.570;3.531.999.969.482.420;0.19413643423123736;0.19375824403390926;0.19413643423123736;-0.00010049928578626282;-0.5;0.003979516442125795;GOOD;28.5;10.6;2.61;0.41;0.74;3.82;1.19;2.92;7.36
GM;AUTO;5;200;12/1/2015;16/1/2015;2.867.971.420.288.080;26.951.251.983.642.500;0.24225857324400077;0.24452053725993195;0.24225857324400077;0.000560033143719184;-0.5;-0.06026776302619704;BAD;30.6;17.04;1.64;0.3;1.24;1.8;1.27;1.59;6.8
COST;RETAIL;540;10000;16/5/2017;7/11/2018;1.609.322.052.001.950;22.945.750.427.246.000;0.1594229198767168;0.1903137844852835;0.1594229198767168;0.24769095058342216;1.96;0.4258022748586711;BAD;22.3;29.45;5.77;0.61;7.32;2.06;0.81;7.21;21.4
KO;FMCG;6;200;16/6/2015;22/6/2015;3.347.267.532.348.630;33.806.739.807.128.900;0.14864976366211943;0.14808218104928425;0.14864976366211943;0.00105887910906864;-0.5;0.009980214620257125;GOOD;25.1;19.16;1.71;3.18;4.97;16.51;1.14;8.1;24.76
JPM;BANK;1;2000;10/4/2018;11/4/2018;1.032.396.469.116.210;10.150.537.109.375;0.1876985808367952;0.18850611525385452;0.1876985808367952;0.00041660744673119825;1.68;-0.016798544645892977;BAD;27.9;14.3;7.02;3.0;1.33;20.87;1.01;0.97;9.65
DB;BANK;540;200;3/11/2017;26/4/2019;16.359.739.303.588.800;8.050.667.762.756.340;0.35194402776270245;0.3726932325952533;0.35194402776270245;-0.20850123424138398;1.96;-0.5078975518277203;BAD;30.0;0.0;-0.62;0.68;0.42;-0.54;0.84;-0.01;-0.31
KSS;RETAIL;40;20000;24/8/2018;3/10/2018;7.287.410.736.083.980;661.533.203.125;0.34162833828337485;0.3456767852646447;0.34162833828337485;0.0007511863807298782;1.68;-0.09222462259553349;BAD;12.9;11.59;5.72;0.54;2.02;4.67;1.82;7.16;17.89
MSFT;TECH;660;50;21/8/2014;10/6/2016;3.991.930.389.404.290;4.764.535.903.930.660;0.21327980401997737;0.26983022755905006;0.21327980401997737;0.39462108735870544;-0.15;0.19354183043298526;GOOD;14.7;13.96;2.63;3.55;3.37;25.42;2.5;14.14;25.67
BBY;RETAIL;7;50;20/8/2018;27/8/2018;7.417.508.697.509.760;7.630.561.065.673.820;0.3131336382283659;0.31375193875631213;0.3131336382283659;0.005030381208064888;1.68;0.028722901024111944;BAD;12.0;19.51;3.59;0.48;6.07;2.44;1.21;8.13;29.37
AAPL;TECH;420;2000;12/10/2016;6/12/2017;27.640.811.920.166.000;4.066.019.821.166.990;0.2524931002723826;0.17338510339431562;0.2524931002723826;0.2827947763527424;-0.2;0.4710204001643418;GOOD;16.5;12.88;2.07;2.73;4.43;21.19;1.35;14.91;35.59
SC;BANK;50;400;12/7/2018;31/8/2018;17.638.916.015.625;19.587.295.532.226.500;0.2903349958174282;0.27974507661852166;0.2903349958174282;0.0015739247108613303;1.68;0.11045914130299381;BAD;26.9;4.65;3.75;0.87;0.89;18.62;0.87;3.38;20.59
TGT;RETAIL;150;20000;24/12/2013;23/5/2014;49.626.617.431.640.600;4.546.000.671.386.710;0.16256192812711995;0.18010139828383642;0.16256192812711995;0.04689923937631524;1.41;-0.08395919233288135;BAD;14.8;13.88;3.73;0.46;2.02;3.27;0.9;5.27;14.78
BBY;RETAIL;180;2000;20/9/2017;19/3/2018;4.826.304.244.995.110;6.323.845.672.607.420;0.3810632493845611;0.3594944520802737;0.3810632493845611;0.12935265963595424;1.96;0.31028740659382525;BAD;12.0;14.03;3.79;0.42;3.67;3.0;1.42;8.75;26.9
AXP;BANK;330;5000;17/11/2014;13/10/2015;8.161.772.155.761.710;703.285.140.991.211;0.17505736763030974;0.2141114330159878;0.17505736763030974;0.1331137540873088;-0.15;-0.13831809125578928;BAD;19.8;14.72;5.37;2.38;4.05;16.17;2.2;3.74;28.6
PG;FMCG;330;500;5/8/2016;30/6/2017;7.568.052.673.339.840;7.869.496.154.785.150;0.15990478811620712;0.12591419968559284;0.15990478811620712;0.06984428905984737;-0.2;0.0398310496050344;GOOD;25.1;20.08;3.69;3.24;3.41;15.7;1.1;7.99;16.87
WMT;RETAIL;30;300;21/2/2014;24/3/2014;6.191.265.869.140.620;6.541.405.487.060.540;0.12434008798404741;0.12353228569097652;0.12434008798404741;0.007975333445170336;-0.15;0.05655380100298015;GOOD;27.3;12.96;4.88;0.44;2.51;3.36;0.88;7.84;20.52
PEP;FMCG;30;500;22/8/2014;22/9/2014;757.796.859.741.211;7.796.996.307.373.040;0.1280886094572032;0.128109507015261;0.1280886094572032;0.006526317362648294;-0.15;0.028903222169030348;GOOD;17.6;16.68;4.43;1.72;4.73;10.3;1.28;8.78;29.38
GM;AUTO;150;200;26/7/2016;23/12/2016;2.749.040.985.107.420;31.217.721.939.086.900;0.26120365806172924;0.2568039002771426;0.26120365806172924;0.016800994311575522;-0.2;0.13558590461928113;GOOD;30.6;3.1;7.81;0.28;0.88;9.12;0.98;6.24;30.96
M;RETAIL;300;50;18/2/2014;15/12/2014;3.894.634.246.826.170;4.719.364.929.199.210;0.23020902266546708;0.2227216977860031;0.23020902266546708;0.007135182898009645;-0.15;0.21176075341224637;GOOD;14.5;9.89;3.9;0.53;2.25;5.32;1.52;6.95;25.28
TGT;RETAIL;120;1500;7/11/2013;7/3/2014;5.179.254.913.330.070;49.226.863.861.083.900;0.1602379929844036;0.1742634915060059;0.1602379929844036;0.03751939150105219;1.41;-0.04953772917439107;BAD;14.8;13.88;3.73;0.46;2.02;3.27;0.9;5.27;14.78
GOOG;TECH;7;25000;14/8/2017;21/8/2017;9.226.699.829.101.560;9.066.599.731.445.310;0.15745887112519694;0.15835355224293624;0.15745887112519694;0.003670271297349636;1.96;-0.01735182683100676;BAD;22.8;32.98;27.55;6.85;4.25;19.49;6.02;11.4;13.66
HOG;AUTO;10;10000;23/9/2014;3/10/2014;5.182.986.068.725.580;4.978.449.249.267.570;0.19829542362694816;0.20055121140544796;0.19829542362694816;0.0012210638102874275;-0.15;-0.03946312352491045;BAD;16.3;12.64;3.86;1.73;3.18;13.59;1.55;8.61;26.37
TGT;RETAIL;2;100;22/2/2017;24/2/2017;5.868.483.352.661.130;59.192.115.783.691.400;0.22628643263677606;0.2233266834693427;0.22628643263677606;0.0006253231916842032;1.96;0.008644179877413217;BAD;14.8;12.04;4.72;0.47;2.89;3.89;0.94;7.14;23.7
NVDA;TECH;240;20000;27/12/2013;25/8/2014;14.902.057.647.705.000;18.315.547.943.115.200;0.21594123560872577;0.23751780840020217;0.21594123560872577;0.3242414177652722;1.41;0.22906167564959293;BAD;12.9;18.57;0.77;2.12;1.88;11.41;4.11;7.79;10.29
PG;FMCG;5;100;23/7/2018;27/7/2018;7.386.911.010.742.180;7.581.676.483.154.290;0.1513490199163365;0.1506673429407279;0.1513490199163365;0.0010582468039370813;1.68;0.02636629467024548;BAD;25.1;19.88;3.66;2.9;3.44;14.19;0.83;7.71;17.41
AXP;BANK;300;400;21/12/2015;17/10/2016;6.279.987.716.674.800;5.606.404.113.769.530;0.21347993400348814;0.23870968322019856;0.21347993400348814;0.12101250371573528;-0.5;-0.10725874528651622;BAD;19.8;12.7;5.03;1.87;2.99;14.7;1.91;3.23;23.62
GM;AUTO;10;500;20/2/2015;2/3/2015;3.012.811.279.296.870;30.096.099.853.515.600;0.24461019394628528;0.24325669504362973;0.24461019394628528;0.001120066287438368;-0.5;-0.0010625603957708273;BAD;30.6;17.04;1.64;0.3;1.24;1.8;1.27;1.59;6.8
NVDA;TECH;30;500;23/9/2014;23/10/2014;18.028.017.044.067.300;17.529.640.197.753.900;0.23987781284202037;0.2544460480881665;0.23987781284202037;0.040530177220659026;-0.15;-0.027644573726286842;BAD;12.9;18.37;0.91;2.21;2.1;12.06;6.19;7.94;12.31
TSLA;AUTO;4;100;20/7/2016;25/7/2016;45.672.000.885.009.700;4.600.199.890.136.710;0.44910988797740703;0.4517940910422827;0.44910988797740703;0.005651911544460127;-0.2;0.0072253899536451486;GOOD;31.1;0.0;-1.69;6.16;12.47;-24.63;1.38;-12.27;-76.41
GOOG;TECH;300;50;21/6/2016;17/4/2017;6.959.400.024.414.060;8.371.699.829.101.560;0.29992199541540543;0.1625290885506706;0.29992199541540543;0.15729734131498438;-0.2;0.20293413221442272;GOOD;22.8;26.82;25.81;6.32;3.72;22.0;5.43;12.08;14.74
HOG;AUTO;50;1500;6/1/2014;25/2/2014;5.682.232.666.015.620;5.320.656.967.163.080;0.20617794743771922;0.2067989962182019;0.20617794743771922;0.006105319051437137;-0.15;-0.06363268104367777;BAD;16.3;17.53;3.27;2.18;4.19;12.44;1.59;7.74;25.82
PG;FMCG;660;200;26/2/2018;18/12/2019;754.160.385.131.836;12.102.099.609.375;0.12038317524449905;0.1743143743977714;0.12038317524449905;0.13968857811969473;1.68;0.6047116565608804;BAD;25.1;22.52;3.74;3.46;3.88;14.97;0.94;8.06;17.85
TGT;RETAIL;100;500;15/2/2018;25/5/2018;6.989.735.412.597.650;665.641.860.961.914;0.3132197424842484;0.3040668774374432;0.3132197424842484;0.03126615958421016;1.68;-0.047686612339828495;BAD;14.8;12.91;5.35;0.52;3.21;4.01;0.96;7.31;26.03
HOG;AUTO;20;3000;26/4/2016;16/5/2016;4.290.920.639.038.080;3.911.185.073.852.530;0.316267893861071;0.3175309656135329;0.316267893861071;0.002442127620574855;-0.2;-0.08849745710297588;BAD;16.3;12.02;3.71;1.46;4.27;12.06;1.74;7.02;31.43
NVDA;TECH;270;25000;6/2/2018;2/11/2018;22.370.806.884.765.600;21.351.759.338.378.900;0.4112570107109625;0.40929972766095785;0.4112570107109625;0.36477159498593126;1.68;-0.045552561051371086;BAD;12.9;50.62;4.82;15.9;19.79;31.37;8.03;30.56;47.01
NVDA;TECH;600;50;10/7/2015;1/3/2017;19.170.570.373.535.100;1.016.695.556.640.620;0.28261090046331816;0.43693541034322336;0.28261090046331816;0.8106035444131806;-0.5;4.303.418.400.342.250;GOOD;12.9;20.41;0.95;2.28;2.5;11.0;5.99;7.42;12.12
AMZN;TECH;60;1000;20/7/2017;18/9/2017;1.028.699.951.171.870;9.741.900.024.414.060;0.18588773711507617;0.19236060463140206;0.18588773711507617;0.054047297034474515;1.96;-0.05298916235815125;BAD;27.4;245.69;3.94;3.14;20.02;1.28;1.01;2.38;9.38
BBY;RETAIL;5;500;26/10/2015;30/10/2015;29.689.119.338.989.200;299.283.504.486.084;0.3410384227253221;0.3391452254523467;0.3410384227253221;0.0035931294343320625;-0.5;0.008057871534942102;GOOD;12.0;11.31;2.64;0.26;2.22;2.34;1.37;6.5;19.58
F;AUTO;720;50000;6/4/2018;26/3/2020;985.412.311.553.955;5.25;0.21005525703258235;0.4347792230419252;0.21005525703258235;-0.023625696293875596;1.68;-0.46722808935470234;BAD;29.7;5.06;1.93;0.24;1.09;4.93;1.23;3.07;22.9
KO;FMCG;720;1000;18/12/2017;9/12/2019;4.160.722.732.543.940;52.280.906.677.246.000;0.09052291277248947;0.17882646801345894;0.09052291277248947;0.1270654930882368;1.96;0.2565342619040743;BAD;25.1;153.93;0.27;4.97;9.33;3.45;1.34;1.38;5.79
AAPL;TECH;15;1500;27/6/2017;12/7/2017;34.319.732.666.015.600;347.996.826.171.875;0.18023197206961253;0.18051662043425257;0.18023197206961253;0.010099813441169373;1.96;0.013984664619696618;BAD;16.5;15.63;2.2;3.28;5.37;20.87;1.39;14.0;35.4
F;AUTO;180;50000;22/10/2013;21/4/2014;12.405.444.145.202.600;11.418.703.079.223.600;0.25436408122660453;0.22636262096710286;0.25436408122660453;-0.005906424073468899;1.41;-0.07954097043438714;BAD;29.7;8.43;1.41;0.33;2.29;3.9;1.91;2.9;30.87
COST;RETAIL;100;50000;24/7/2017;1/11/2017;1.421.097.412.109.370;1.536.010.284.423.820;0.16973106971077223;0.18927645690469658;0.16973106971077223;0.04586869455248559;1.96;0.08086206570729357;BAD;22.3;29.45;5.77;0.61;7.32;2.06;0.81;7.21;21.4
SC;BANK;7;400;7/5/2015;14/5/2015;2.168.985.366.821.280;2.174.336.051.940.910;0.2974623279845708;0.2972534635456801;0.2974623279845708;0.00022034945952058627;-0.5;0.002466906970179559;GOOD;26.9;7.68;2.73;1.28;1.95;14.19;0.95;2.61;24.23
UBS;BANK;80;1500;26/9/2018;14/12/2018;1.454.539.680.480.950;11.024.911.880.493.100;0.19109908088387098;0.21867260203648944;0.19109908088387098;-0.008656816447017447;1.68;-0.24203429934289075;BAD;24.8;31.86;0.47;1.64;1.07;1.36;0.99;0.05;0.91
TSLA;AUTO;80;500;23/1/2015;13/4/2015;40.257.999.420.166.000;4.195.600.128.173.820;0.45611305529488505;0.4076185653355452;0.45611305529488505;0.11303823088920253;-0.5;0.042177999056796235;GOOD;31.1;0.0;-0.47;8.65;30.66;-9.22;1.51;-5.67;-31.6
WMT;RETAIL;50;400;9/5/2014;27/6/2014;679.112.548.828.125;6.460.144.805.908.200;0.12046454062901174;0.11473786214434913;0.12046454062901174;0.013292222408617226;-0.15;-0.04873723552070807;BAD;27.3;14.01;4.85;0.47;2.81;3.32;0.88;7.74;20.12
SC;BANK;15;500;10/5/2018;25/5/2018;17.486.156.463.623.000;17.647.897.720.336.900;0.2905262108321388;0.2883910616409637;0.2905262108321388;0.0004721774132583991;1.68;0.009249674566869063;BAD;26.9;4.16;3.57;0.75;0.8;17.83;0.88;3.23;20.6
TSLA;AUTO;100;3000;17/3/2017;26/6/2017;5.229.999.923.706.050;7.549.800.109.863.280;0.33419193039937384;0.3168329519560738;0.33419193039937384;0.14129778861150316;1.96;0.4435564474183361;BAD;31.1;0.0;-0.95;4.95;7.88;-8.45;1.13;-4.0;-17.47
HMC;AUTO;80;25000;14/9/2018;3/12/2018;28.899.999.618.530.200;28.719.999.313.354.400;0.1770084600701994;0.20108394850564656;0.1770084600701994;-0.002009985715725256;1.68;-0.0062283843443502185;BAD;28.5;4.92;5.71;0.35;0.0;7.19;1.22;5.75;13.48
JPM;BANK;50;100;23/8/2017;12/10/2017;8.277.476.501.464.840;8.718.224.334.716.790;0.1710846419656336;0.17286336492342505;0.1710846419656336;0.02083037233655991;1.96;0.053246642642108995;BAD;27.9;12.14;6.76;2.69;1.12;22.11;1.04;0.97;9.62
F;AUTO;120;3000;6/12/2017;5/4/2018;10.649.552.345.275.800;10.003.962.516.784.600;0.18821899908931441;0.20973705953952143;0.18821899908931441;-0.003937616048979266;1.96;-0.06062131135282821;BAD;29.7;5.65;1.9;0.27;1.23;4.93;1.24;3.09;23.47
F;AUTO;5;5000;5/2/2016;10/2/2016;9.013.232.231.140.130;8.926.642.417.907.710;0.22892968105731942;0.22978923319607086;0.22892968105731942;-0.00016406733537413607;-0.2;-0.009606965737913604;BAD;29.7;6.5;1.65;0.29;1.51;4.93;1.25;3.38;27.44
COST;RETAIL;300;5000;2/5/2016;27/2/2017;13.498.562.622.070.300;16.020.370.483.398.400;0.18863412143463953;0.16115989032334693;0.18863412143463953;0.13760608365745677;-0.2;0.1868204735521202;GOOD;22.3;25.12;5.3;0.5;4.97;1.98;0.97;6.94;20.83
BAC;BANK;1;300;14/4/2016;15/4/2016;12.863.821.029.663.000;12.736.457.824.707.000;0.30665183572508875;0.30663676331629836;0.30665183572508875;0.0005180881487099944;-0.2;-0.00990088439992782;BAD;26.3;9.39;1.31;1.47;0.48;15.77;0.93;0.68;5.74
KSS;RETAIL;180;500;4/5/2016;31/10/2016;3.447.456.741.333.000;3.642.660.903.930.660;0.3981654977072273;0.4266227076677732;0.3981654977072273;0.003380338713284452;-0.2;0.05662265758327625;GOOD;12.9;12.1;2.96;0.36;1.25;2.95;1.83;4.02;10.26
FB;TECH;60;300;15/10/2013;13/12/2013;49.5;5.331.999.969.482.420;0.49599928795247955;0.4449296840122387;0.49599928795247955;0.04958116070433179;1.41;0.07717171100654988;BAD;31.6;119.6;0.42;18.35;9.39;15.05;10.72;6.79;8.44
HMC;AUTO;720;1500;13/4/2017;3/4/2019;28.450.000.762.939.400;28.139.999.389.648.400;0.2048163940094287;0.20074634268359767;0.2048163940094287;-0.018089871441527305;1.96;-0.010896357292715457;BAD;28.5;8.49;3.18;0.37;0.69;4.4;1.21;3.4;8.52
DB;BANK;15;5000;29/8/2017;13/9/2017;15.601.083.755.493.100;1.632.083.511.352.530;0.4075821145673266;0.4047973902611099;0.4075821145673266;-0.005791700951149555;1.96;0.046134702518906806;BAD;30.0;0.0;-0.77;0.62;0.46;-1.63;0.79;-0.04;-0.96
F;AUTO;150;300;3/6/2016;31/10/2016;10.378.063.201.904.200;9.563.573.837.280.270;0.258540073916423;0.26094875115122845;0.258540073916423;-0.004922020061224082;-0.2;-0.07848182736780508;BAD;29.7;4.88;2.05;0.26;1.3;5.45;1.24;3.68;29.02
DB;BANK;80;5000;2/3/2018;21/5/2018;1.535.792.350.769.040;12.362.205.505.371.000;0.31673660522991176;0.2866958662206457;0.31673660522991176;-0.030889071739464292;1.68;-0.1950600939521049;BAD;30.0;0.0;-0.85;0.64;0.34;-2.93;0.76;-0.07;-1.63
TSLA;AUTO;30;50000;30/12/2013;29/1/2014;30.488.000.869.750.900;3.504.600.143.432.610;0.6640651010502178;0.6846643119044978;0.6640651010502178;0.042389336583450954;1.41;0.1495014574437863;BAD;31.1;0.0;-0.12;9.04;27.76;-3.68;1.88;-3.89;-14.59
HMC;AUTO;240;500;16/6/2016;10/2/2017;25.959.999.084.472.600;3.156.999.969.482.420;0.2753014324074129;0.22787676193812367;0.2753014324074129;-0.006029957147175769;-0.2;0.21610172604771194;GOOD;28.5;13.5;1.64;0.32;0.0;2.4;1.11;1.93;4.87
COST;RETAIL;100;1000;14/8/2015;23/11/2015;12.958.448.791.503.900;1.453.578.643.798.820;0.15858104903038925;0.17564567186469066;0.15858104903038925;0.04586869455248559;-0.5;0.12172272097247802;GOOD;22.3;23.14;5.37;0.47;5.02;2.05;1.02;7.06;21.29
FB;TECH;480;1500;30/5/2018;23/9/2019;1.876.699.981.689.450;18.682.000.732.421.800;0.26158108966865945;0.33180114153486845;0.26158108966865945;0.39664928563465435;1.68;-0.004529178094632788;BAD;31.6;26.46;6.04;10.58;5.97;40.03;9.91;21.88;24.65
PEP;FMCG;20;4000;4/6/2014;24/6/2014;7.232.989.501.953.120;7.284.280.395.507.810;0.13431484821842424;0.1318139382456835;0.13431484821842424;0.004350878241765529;-0.15;0.00709124402030964;GOOD;17.6;16.68;4.43;1.72;4.73;10.3;1.28;8.78;29.38
FB;TECH;180;300;5/11/2014;4/5/2015;7.483.000.183.105.460;7.880.999.755.859.370;0.3754576984736208;0.25666514236787824;0.3754576984736208;0.1487434821129954;-0.15;0.053187165978223344;GOOD;31.6;75.28;1.05;18.34;9.66;24.55;13.06;13.43;15.32
KO;FMCG;10;200;7/7/2017;17/7/2017;395.703.010.559.082;39.873.390.197.753.900;0.11666420389016265;0.11657510544989058;0.11666420389016265;0.0017647985151144;1.96;0.00765951063696669;BAD;25.1;41.65;0.96;4.47;7.73;10.68;1.35;4.57;17.54
GOOG;TECH;600;1500;6/6/2017;28/1/2019;9.765.700.073.242.180;10.700.799.560.546.800;0.1526055318133868;0.29013748304507825;0.1526055318133868;0.31459468262996876;1.96;0.0957534513953424;BAD;22.8;32.98;27.55;6.85;4.25;19.49;6.02;11.4;13.66
PG;FMCG;3;1500;12/6/2017;15/6/2017;7.967.919.921.875;8.070.860.290.527.340;0.1301241204329148;0.12995728143537327;0.1301241204329148;0.0006349480823622488;1.96;0.012919352812486596;BAD;25.1;14.07;5.59;3.33;3.6;23.18;0.88;12.45;27.04
KO;FMCG;3;10000;8/3/2016;11/3/2016;3.762.069.320.678.710;3.866.688.919.067.380;0.14062664568762792;0.13897681681981855;0.14062664568762792;0.00052943955453432;-0.2;0.0278090565247207;GOOD;25.1;23.9;1.66;3.98;6.84;16.59;1.18;7.91;27.51
AAPL;TECH;720;50000;21/8/2015;10/8/2017;24.391.490.936.279.200;3.723.283.767.700.190;0.24421461532223557;0.1778327515281927;0.24421461532223557;0.48479104517612986;-0.5;0.5264682988944622;GOOD;16.5;13.3;2.17;3.02;5.23;22.62;1.09;19.74;41.46
